,mean,median,sigma,sigma_mad,sigma_iqr
OG550_65mm_1_diff,0.12440821057817095,0.11351383511185242,0.185159684867885,0.07729788989138778,0.07861680393649374
empty_diff,-0.012878975354982313,-0.040933143173794484,0.441533678962748,0.12505434410342267,0.12626151014050435
OG550_65mm_1_repinterp_ram,-0.03439919198941217,-0.08670498731459286,1.898528478990912,1.618513329453778,1.6234575223220344
empty_repinterp_ram,-0.03426463811611827,-0.0401124881728423,2.2360270631487,1.8004837446773423,1.7686766672588858
OG550_65mm_1_repinterp_rum,-0.03400375583838976,-0.08230942768230909,1.8790149357676065,1.6079697083764402,1.6100766566109197
empty_repinterp_rum,-0.027770646818116956,-0.05273175704471411,2.188580352005494,1.7496499836068058,1.7489166129678126
OG550_65mm_1_repdiff_ram,0.044071672914430905,0.055510845149190136,1.9766708180167618,1.7573621000458048,1.7571739275141607
empty_repdiff_ram,0.04813893056800353,-0.017281636780835274,2.3795163477685324,2.0096575763819384,1.9793093663641421
OG550_65mm_1_repdiff_rum,0.045137282637338676,0.052008037352747394,1.9438487610911208,1.723356055774939,1.724717175728305
empty_repdiff_rum,0.034181232376545786,0.059868230119399346,2.335663857852341,2.007079297240013,1.9980850442410987
